"Outcome","Contrast","Feature","N_trials","N_subjects","Joint_singular","PathB_estimate","PathB_p","PathB_p_FDR","ACME_mean","ACME_sd","ACME_CoV","QB_p","QB_p_FDR","Perm_p","Perm_p_FDR","Direct_effect","Prop_mediated"
"Image Accuracy","TIB4Cue_vs_SoundOnly","left_temporal_spindle_peak_freq",3218,28,FALSE,0.13001233919654,0.00233692987945715,0.0373908780713144,0.000470020823493723,0.000789835303737866,0.595087129265263,0.522,0.934,0.191808191808192,0.43841872413301,-0.0541211837249833,-0.00813647316452763
"Image Accuracy","TIB4Cue_vs_SoundOnly","frontal_central_so_spindle",3218,28,FALSE,-0.0793983202695943,0.097657213900316,0.260419237067509,0.000339960258739036,0.00053285242131927,0.638000776832993,0.474,0.934,0.0729270729270729,0.233366633366633,-0.0541440898425938,-0.00449934401429798
"Image Accuracy","TIB4Cue_vs_SoundOnly","right_temporal_so_spindle",3218,28,FALSE,0.0509472445841241,0.246498689896597,0.492997379793194,-4.18278742694909e-05,0.000261872428609563,-0.159726147924698,0.866,0.934,0.541458541458541,0.653061224489796,-0.054054423759502,0.000284408155654359
"Image Accuracy","TIB4Cue_vs_SoundOnly","posterior_sigma_burst_amp",3218,28,FALSE,0.110082670946069,0.00938892885462334,0.0751114308369867,2.70414659768078e-05,0.000592089491816507,0.0456712479288319,0.926,0.934,0.250749250749251,0.501498501498502,-0.0545928979061238,-0.000916895766601207
"Image Accuracy","TIB4Cue_vs_SoundOnly","left_temporal_delta_spindle",3218,28,FALSE,-0.0209106194754079,0.631882600068394,0.722151542935308,1.03101028680502e-05,0.000141753076256267,0.0727328333207464,0.926,0.934,0.396603396603397,0.634565434565435,-0.0540531731664536,-5.03720881476617e-05
"Image Accuracy","TIB4Cue_vs_SoundOnly","right_temporal_delta_spindle",3218,28,FALSE,0.0776408978961839,0.0663663044121726,0.258750652354495,-0.000120314806672297,0.000254352723453589,-0.473023465362071,0.634,0.934,0.769230769230769,0.769230769230769,-0.0552059824503677,0.00164375971887461
"Image Accuracy","TIB4Cue_vs_SoundOnly","central_aperiodic",3218,28,FALSE,0.0280142623967188,0.506384635327486,0.722151542935308,0.000187491711911922,0.000424665984309599,0.441503955671743,0.688,0.934,0.000999000999000999,0.015984015984016,-0.0548488264769728,-0.0018485476202026
"Image Accuracy","TIB4Cue_vs_SoundOnly","left_temporal_so_spindle",3218,28,FALSE,0.00879855141301876,0.844565459148524,0.844565459148524,2.81834150097061e-05,0.000177679075066045,0.15861977556575,0.866,0.934,0.031968031968032,0.218448218448218,-0.0540738504251981,-0.000189483475768589
"Image Accuracy","TIB4Cue_vs_SoundOnly","frontal_delta_spindle",3218,28,FALSE,-0.05710100190629,0.192790393560762,0.440663756710313,-2.73584588715523e-05,0.000197216659953873,-0.138722858798801,0.87,0.934,0.544455544455544,0.653061224489796,-0.0549698712093255,0.000229467030618595
"Image Accuracy","TIB4Cue_vs_SoundOnly","occipital_delta_spindle",3218,28,FALSE,-0.0256953067340544,0.565739975026403,0.722151542935308,-2.19157200080996e-05,0.000136611331848974,-0.160423880738736,0.86,0.934,0.571428571428571,0.653061224489796,-0.0551649627057088,0.000151665205143556
"Image Accuracy","TIB4Cue_vs_SoundOnly","posterior_spindle_peak_freq",3218,28,FALSE,-0.0138653834275624,0.766709572651089,0.817823544161161,3.45269704864433e-05,0.000355426677860798,0.0971423155241198,0.934,0.934,0.0719280719280719,0.233366633366633,-0.0549714341486671,-0.000136984952566122
"Image Accuracy","TIB4Cue_vs_SoundOnly","posterior_theta_power",3218,28,FALSE,0.0338595345970491,0.460050508964486,0.722151542935308,0.000180302233808732,0.000404823795266404,0.445384475707708,0.66,0.934,0.040959040959041,0.218448218448218,-0.0554319126629395,-0.00159207490658023
"Image Accuracy","TICue_vs_TIB4Cue","central_so_spindle",3274,28,FALSE,0.0242480031034862,0.67608928331114,0.945091273161462,6.61459520771153e-05,0.000319715557523319,0.206890001192046,0.836,0.994,0.124875124875125,0.879120879120879,0.0823650745499563,0.000350879801903843
"Image Accuracy","TICue_vs_TIB4Cue","central_delta_spindle",3274,28,FALSE,0.0214751257506206,0.66363466858887,0.945091273161462,-4.26059223639807e-05,0.000168418692693852,-0.252976208771725,0.794,0.994,0.899100899100899,0.899100899100899,0.0815189308058193,-0.000224021805182286
"Image Accuracy","TICue_vs_TIB4Cue","posterior_delta_spindle",3274,28,FALSE,0.105187712606354,0.0265187358400714,0.180564822987406,0.000146790282837245,0.000323275479219721,0.454071812658193,0.618,0.994,0.262737262737263,0.879120879120879,0.0827862916914832,0.00142468382499972
"Image Accuracy","TICue_vs_TIB4Cue","right_temporal_spindle_peak_freq",3274,28,FALSE,-0.0903859155617874,0.0338559043101386,0.180564822987406,-0.000194191324841639,0.000577387379216557,-0.336327623068471,0.732,0.994,0.320679320679321,0.879120879120879,0.0821117974153309,-0.00149284562000489
"Image Accuracy","TICue_vs_TIB4Cue","left_temporal_spindle_peak_freq",3274,28,FALSE,0.0937424961007586,0.0276151875153328,0.180564822987406,4.8560251662161e-06,0.000531431463795022,0.00913763203168022,0.978,0.994,0.872127872127872,0.899100899100899,0.0815962477975925,-0.000103517496149656
"Image Accuracy","TICue_vs_TIB4Cue","frontal_central_so_spindle",3274,28,FALSE,-0.0753671368683359,0.126723444693397,0.506893778773587,-0.000108211204928487,0.000406811033115327,-0.265998697478322,0.782,0.994,0.857142857142857,0.899100899100899,0.0824786531219667,-0.000686021342999825
"Image Accuracy","TICue_vs_TIB4Cue","right_temporal_so_spindle",3274,28,FALSE,0.0129006492180106,0.772414447514071,0.945091273161462,3.69110767929109e-05,0.000152071044456505,0.242722583545272,0.844,0.994,0.0959040959040959,0.879120879120879,0.0823941629816538,0.00014041788063869
"Image Accuracy","TICue_vs_TIB4Cue","posterior_sigma_burst_amp",3274,28,FALSE,0.00539238228892007,0.899840374293006,0.945091273161462,1.78333874152223e-06,0.000259611538455588,0.00686925840096012,0.978,0.994,0.345654345654346,0.879120879120879,0.0829831761493385,1.884308682628e-05
"Image Accuracy","TICue_vs_TIB4Cue","left_temporal_delta_spindle",3274,28,FALSE,-0.0373169033082634,0.396415768970582,0.916535394275191,-2.78605691444433e-05,0.000163492101436276,-0.170409266867871,0.882,0.994,0.638361638361638,0.879120879120879,0.0821200494123728,-0.000145337236832633
"Image Accuracy","TICue_vs_TIB4Cue","right_temporal_delta_spindle",3274,28,FALSE,-0.00390529511659077,0.927904368636332,0.945091273161462,-6.22931415038664e-07,0.000127056530235513,-0.00490278944249457,0.978,0.994,0.513486513486514,0.879120879120879,0.0827412267095901,5.23391989006559e-06
"Image Accuracy","TICue_vs_TIB4Cue","central_aperiodic",3274,28,FALSE,-0.00390036406921017,0.926811807594152,0.945091273161462,1.90521590254962e-05,0.000416975703681764,0.0456912929393046,0.994,0.994,0.63036963036963,0.879120879120879,0.0823194623578576,1.49966717359818e-05
"Image Accuracy","TICue_vs_TIB4Cue","left_temporal_so_spindle",3274,28,FALSE,-0.0386937576490885,0.400984234995396,0.916535394275191,-2.35358147376125e-05,0.0001759757961021,-0.133744612946414,0.91,0.994,0.659340659340659,0.879120879120879,0.0824258316719809,-5.95829098513591e-05
"Image Accuracy","TICue_vs_TIB4Cue","frontal_delta_spindle",3274,28,FALSE,-0.0235256013380152,0.59095541308096,0.945091273161462,-1.73935734007663e-05,0.000143218008020693,-0.121448228760821,0.878,0.994,0.595404595404595,0.879120879120879,0.083346304621836,-7.72288339240496e-05
"Image Accuracy","TICue_vs_TIB4Cue","occipital_delta_spindle",3274,28,FALSE,-0.0508423693938943,0.250960054246698,0.803072173589433,7.06398204208432e-05,0.000203869095319013,0.346495972380249,0.702,0.994,0.247752247752248,0.879120879120879,0.0826446212482533,0.000443261214912779
"Image Accuracy","TICue_vs_TIB4Cue","posterior_spindle_peak_freq",3274,28,FALSE,0.00874627285440858,0.855388362870586,0.945091273161462,-1.63432701302972e-05,0.000400697741977872,-0.0407870282712993,0.94,0.994,0.76023976023976,0.899100899100899,0.0822224808443207,-8.38125244636253e-05
"Image Accuracy","TICue_vs_TIB4Cue","posterior_theta_power",3274,28,FALSE,0.00319123272228381,0.945091273161462,0.945091273161462,7.231023923382e-07,0.000350584745165349,0.00206256091375897,0.994,0.994,0.431568431568432,0.879120879120879,0.0822355502561472,1.07840066898636e-05
